,Pokedex Number,Pokemon Name,Original Pokemon ID,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Male Ratio,Female Ratio,Base Happiness,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth Total,Egg Cycle Count
46,28,Sandslash,,,1.0,29.5,Ground,Ground,50.0,50.0,50,75,100,110,45,55,65,450,0,0,2,0,0,0,2,90,1000000,20
47,28,"""Alola"" Sandslash",94.0,,1.2,55.0,Ice,Steel,50.0,50.0,50,75,100,120,25,65,65,450,0,0,2,0,0,0,2,90,1000000,20
48,29,Nidoran (Female),,,0.4,7.0,Poison,Poison,0.0,100.0,50,55,47,52,40,40,41,275,1,0,0,0,0,0,1,235,1059860,20
49,30,Nidorina,,,0.8,20.0,Poison,Poison,0.0,100.0,50,70,62,67,55,55,56,365,2,0,0,0,0,0,2,120,1059860,20
50,31,Nidoqueen,,,1.3,60.0,Poison,Ground,0.0,100.0,50,90,92,87,75,85,76,505,3,0,0,0,0,0,3,45,1059860,20
51,32,Nidoran (Male),,,0.5,9.0,Poison,Poison,100.0,0.0,50,46,57,40,40,40,50,273,0,1,0,0,0,0,1,235,1059860,20
52,33,Nidorino,,,0.9,19.5,Poison,Poison,100.0,0.0,50,61,72,57,55,55,65,365,0,2,0,0,0,0,2,120,1059860,20
53,34,Nidoking,,,1.4,62.0,Poison,Ground,100.0,0.0,50,81,102,77,85,75,85,505,0,3,0,0,0,0,3,45,1059860,20
54,35,Clefairy,,,0.6,7.5,Fairy,Fairy,25.0,75.0,140,70,45,48,60,65,35,323,2,0,0,0,0,0,2,150,800000,20
55,36,Clefable,,,1.3,40.0,Fairy,Fairy,25.0,75.0,140,95,70,73,95,90,60,483,3,0,0,0,0,0,3,25,800000,10
56,37,Vulpix,,,0.6,9.9,Fire,Fire,25.0,75.0,50,38,41,40,50,65,65,299,0,0,0,0,0,1,1,190,1000000,20
57,37,"""Alola"" Vulpix",54.0,,0.6,9.9,Ice,Ice,25.0,75.0,50,38,41,40,50,65,65,299,0,0,0,0,0,1,1,190,1000000,20
58,38,Ninetales,,,1.1,19.9,Fire,Fire,25.0,75.0,50,73,76,75,81,100,100,505,0,0,0,0,1,1,2,75,1000000,20
59,38,"""Alola"" Ninetales",56.0,,1.1,19.9,Ice,Fairy,25.0,75.0,50,73,67,75,81,100,109,505,0,0,0,0,0,2,2,75,1000000,20
60,39,Jigglypuff,,,0.5,5.5,Normal,Fairy,25.0,75.0,50,115,45,20,45,25,20,270,2,0,0,0,0,0,2,170,800000,10
61,40,Wigglytuff,,,1.0,12.0,Normal,Fairy,25.0,75.0,50,140,70,45,85,50,45,435,3,0,0,0,0,0,3,50,800000,10
62,41,Zubat,,,0.8,7.5,Poison,Flying,50.0,50.0,50,40,45,35,30,40,55,245,0,0,0,0,0,1,1,255,1000000,15
63,42,Golbat,,,1.6,55.0,Poison,Flying,50.0,50.0,50,75,80,70,65,75,95,460,0,0,0,0,0,2,2,90,1000000,15
64,43,Oddish,,,0.5,5.4,Grass,Poison,50.0,50.0,50,45,50,55,75,65,30,320,0,0,0,1,0,0,1,255,1059860,20
65,44,Gloom,,,0.8,8.6,Grass,Poison,50.0,50.0,50,60,65,70,85,75,40,395,0,0,0,2,0,0,2,120,1059860,20
66,45,Vileplume,,,1.2,18.6,Grass,Poison,50.0,50.0,50,75,80,85,110,90,50,490,0,0,0,3,0,0,3,45,1059860,20
67,46,Paras,,,0.3,5.4,Bug,Grass,50.0,50.0,50,35,70,55,45,55,25,285,0,1,0,0,0,0,1,190,1000000,20
68,47,Parasect,,,1.0,29.5,Bug,Grass,50.0,50.0,50,60,95,80,60,80,30,405,0,2,1,0,0,0,3,75,1000000,20
69,48,Venonat,,,1.0,30.0,Bug,Poison,50.0,50.0,50,60,55,50,40,55,45,305,0,0,0,0,1,0,1,190,1000000,20
70,49,Venomoth,,,1.5,12.5,Bug,Poison,50.0,50.0,50,70,65,60,90,75,90,450,0,0,0,1,0,1,2,75,1000000,20
71,50,Diglett,,,0.2,0.8,Ground,Ground,50.0,50.0,50,10,55,25,35,45,95,265,0,0,0,0,0,1,1,255,1000000,20
72,50,"""Alola"" Diglett",72.0,,0.2,1.0,Ground,Steel,50.0,50.0,50,10,55,30,35,45,90,265,0,0,0,0,0,1,1,255,1000000,20
73,51,"""Alola"" Dugtrio",73.0,,0.7,66.6,Ground,Steel,50.0,50.0,50,35,100,60,50,70,110,425,0,2,0,0,0,0,2,50,1000000,20
74,51,Dugtrio,,,0.7,33.3,Ground,Ground,50.0,50.0,50,35,100,50,50,70,120,425,0,0,0,0,0,2,2,50,1000000,20
75,52,Meowth,,,0.4,4.2,Normal,Normal,50.0,50.0,50,40,45,35,40,40,90,290,0,0,0,0,0,1,1,255,1000000,20
76,52,"""Alola"" Meowth",96.0,,0.4,4.2,Dark,Dark,50.0,50.0,50,40,35,35,50,40,90,290,0,0,0,0,0,1,1,255,1000000,20
77,52,"""Galar"" Meowth",96.0,,0.4,7.5,Steel,Steel,50.0,50.0,50,50,65,55,40,40,40,290,0,0,0,0,0,1,1,255,1000000,20
78,52,"""Gigantamax"" Meowth",96.0,,33.0,0.0,Normal,Normal,50.0,50.0,50,40,45,35,40,40,90,290,0,0,0,0,0,1,1,255,1000000,20
79,53,Persian,,,1.0,32.0,Normal,Normal,50.0,50.0,50,65,70,60,65,65,115,440,0,0,0,0,0,2,2,90,1000000,20
80,53,"""Alola"" Persian",100.0,,1.1,33.0,Dark,Dark,50.0,50.0,50,65,60,60,75,65,115,440,0,0,0,0,0,2,2,90,1000000,20
81,54,Psyduck,,,0.8,19.6,Water,Water,50.0,50.0,50,50,52,48,65,50,55,320,0,0,0,1,0,0,1,190,1000000,20
82,55,Golduck,,,1.7,76.6,Water,Water,50.0,50.0,50,80,82,78,95,80,85,500,0,0,0,2,0,0,2,75,1000000,20
83,56,Mankey,,,0.5,28.0,Fighting,Fighting,50.0,50.0,50,40,80,35,35,45,70,305,0,1,0,0,0,0,1,190,1000000,20
84,57,Primeape,,,1.0,32.0,Fighting,Fighting,50.0,50.0,50,65,105,60,60,70,95,455,0,2,0,0,0,0,2,75,1000000,20
85,58,Growlithe,,,0.7,19.0,Fire,Fire,75.0,25.0,50,55,70,45,70,50,60,350,0,1,0,0,0,0,1,190,1250000,20
86,58,"""Hisui"" Growlithe",949.0,,0.8,22.7,Fire,Rock,75.0,25.0,50,60,75,45,65,50,55,350,0,1,0,0,0,0,1,235,1250000,20
87,59,Arcanine,,,1.9,155.0,Fire,Fire,75.0,25.0,50,90,110,80,100,80,95,555,0,2,0,0,0,0,2,75,1250000,20
88,59,"""Hisui"" Arcanine",960.0,,2.0,168.0,Fire,Rock,75.0,25.0,50,95,115,80,95,80,90,555,0,2,0,0,0,0,2,135,1250000,20
89,60,Poliwag,,,0.6,12.4,Water,Water,50.0,50.0,50,40,50,40,40,40,90,300,0,0,0,0,0,1,1,255,1059860,20
90,61,Poliwhirl,,,1.0,20.0,Water,Water,50.0,50.0,50,65,65,65,50,50,90,385,0,0,0,0,0,2,2,120,1059860,20
91,62,Poliwrath,,,1.3,54.0,Water,Fighting,50.0,50.0,50,90,95,95,70,90,70,510,0,0,3,0,0,0,3,45,1059860,20
92,63,Abra,,,0.9,19.5,Psychic,Psychic,75.0,25.0,50,25,20,15,105,55,90,310,0,0,0,1,0,0,1,200,1059860,20
93,64,Kadabra,,,1.3,56.5,Psychic,Psychic,75.0,25.0,50,40,35,30,120,70,105,400,0,0,0,2,0,0,2,100,1059860,20
94,65,Alakazam,,,1.5,48.0,Psychic,Psychic,75.0,25.0,50,55,50,45,135,95,120,500,0,0,0,3,0,0,3,50,1059860,20
95,65,Alakazam,,,1.5,48.0,Psychic,Psychic,75.0,25.0,50,55,50,45,135,95,120,500,0,0,0,3,0,0,3,50,1059860,20
96,65,"""Mega"" Alakazam",1026.0,,1.2,48.0,Psychic,Psychic,75.0,25.0,70,55,50,65,175,105,150,600,0,0,0,3,0,0,3,50,1059860,20
97,66,Machop,,,0.8,19.5,Fighting,Fighting,75.0,25.0,50,70,80,50,35,35,35,305,0,1,0,0,0,0,1,180,1059860,20
98,67,Machoke,,,1.5,70.5,Fighting,Fighting,75.0,25.0,50,80,100,70,50,60,45,405,0,2,0,0,0,0,2,90,1059860,20
99,68,Machamp,,,1.6,130.0,Fighting,Fighting,75.0,25.0,50,90,130,80,65,85,55,505,0,3,0,0,0,0,3,45,1059860,20
100,68,Machamp,,,1.6,130.0,Fighting,Fighting,75.0,25.0,50,90,130,80,65,85,55,505,0,3,0,0,0,0,3,45,1059860,20
101,68,"""Gigantamax"" Machamp",1097.0,,25.0,0.0,Fighting,Fighting,75.0,25.0,50,90,130,80,65,85,55,505,0,3,0,0,0,0,3,45,1059860,20
102,69,Bellsprout,,,0.7,4.0,Grass,Poison,50.0,50.0,50,50,75,35,70,30,40,300,0,1,0,0,0,0,1,255,1059860,20
103,70,Weepinbell,,,1.0,6.4,Grass,Poison,50.0,50.0,50,65,90,50,85,45,55,390,0,2,0,0,0,0,2,120,1059860,20
104,71,Victreebel,,,1.7,15.5,Grass,Poison,50.0,50.0,50,80,105,65,100,70,70,490,0,3,0,0,0,0,3,45,1059860,20
105,72,Tentacool,,,0.9,45.5,Water,Poison,50.0,50.0,50,40,40,35,50,100,70,335,0,0,0,0,1,0,1,190,1250000,20
106,73,Tentacruel,,,1.6,55.0,Water,Poison,50.0,50.0,50,80,70,65,80,120,100,515,0,0,0,0,2,0,2,60,1250000,20
107,74,Geodude,,,0.4,20.0,Rock,Ground,50.0,50.0,50,40,80,100,30,30,20,300,0,0,1,0,0,0,1,255,1059860,15
108,74,"""Alola"" Geodude",1265.0,,0.4,20.3,Rock,Electric,50.0,50.0,70,40,80,100,30,30,20,300,0,0,1,0,0,0,1,255,1059860,15
109,75,"""Alola"" Graveler",1276.0,,1.0,110.0,Rock,Electric,50.0,50.0,70,55,95,115,45,45,35,390,0,0,2,0,0,0,2,120,1059860,15
110,75,Graveler,,,1.0,105.0,Rock,Ground,50.0,50.0,50,55,95,115,45,45,35,390,0,0,2,0,0,0,2,120,1059860,15
111,76,Golem,,,1.4,300.0,Rock,Ground,50.0,50.0,50,80,120,130,55,65,45,495,0,0,3,0,0,0,3,45,1059860,15
112,76,Golem,,,1.4,300.0,Rock,Ground,50.0,50.0,50,80,120,130,55,65,45,495,0,0,3,0,0,0,3,45,1059860,15
113,76,"""Alola"" Golem",1287.0,,1.7,316.0,Rock,Electric,50.0,50.0,70,80,120,130,55,65,45,495,0,0,3,0,0,0,3,45,1059860,15
114,77,"""Galar"" Ponyta",1297.0,,0.8,24.0,Psychic,Psychic,50.0,50.0,50,50,85,55,65,65,90,410,0,0,0,0,0,1,1,190,1000000,20
115,77,Ponyta,,,1.0,30.0,Fire,Fire,50.0,50.0,50,50,85,55,65,65,90,410,0,0,0,0,0,1,1,190,1000000,20
116,78,Rapidash,,,1.7,95.0,Fire,Fire,50.0,50.0,50,65,100,70,80,80,105,500,0,0,0,0,0,2,2,60,1000000,20
117,78,"""Galar"" Rapidash",1308.0,,1.7,80.0,Psychic,Fairy,50.0,50.0,50,65,100,70,80,80,105,500,0,0,0,0,0,2,2,60,1000000,20
118,79,"""Galar"" Slowpoke",1319.0,,1.2,36.0,Psychic,Psychic,50.0,50.0,50,90,65,65,40,40,15,315,1,0,0,0,0,0,1,190,1000000,20
119,79,Slowpoke,,,1.2,36.0,Water,Psychic,50.0,50.0,50,90,65,65,40,40,15,315,1,0,0,0,0,0,1,190,1000000,20
120,80,"""Mega"" Slowbro",1330.0,,2.0,120.0,Water,Psychic,50.0,50.0,70,95,75,180,130,80,30,590,0,0,2,0,0,0,2,75,1000000,20
121,80,"""Galar"" Slowbro",1330.0,,1.6,70.5,Poison,Psychic,50.0,50.0,50,95,100,95,100,70,30,490,0,2,0,0,0,0,2,75,1000000,20
122,80,Slowbro,,,1.6,78.5,Water,Psychic,50.0,50.0,50,95,75,110,100,80,30,490,0,0,2,0,0,0,2,75,1000000,20
123,81,Magnemite,,,0.3,6.0,Electric,Steel,0.0,0.0,50,25,35,70,95,55,45,325,0,0,0,1,0,0,1,190,1000000,20
124,82,Magneton,,,1.0,60.0,Electric,Steel,0.0,0.0,50,50,60,95,120,70,70,465,0,0,0,2,0,0,2,60,1000000,20
125,83,Farfetch'd,,,0.8,15.0,Normal,Flying,50.0,50.0,50,52,90,55,58,62,60,377,0,1,0,0,0,0,1,45,1000000,20
126,83,"""Galar"" Farfetch'd",1342.0,,0.8,42.0,Fighting,Fighting,50.0,50.0,50,52,95,55,58,62,55,377,0,1,0,0,0,0,1,45,1000000,20
127,84,Doduo,,,1.4,39.2,Normal,Flying,50.0,50.0,50,35,85,45,35,35,75,310,0,1,0,0,0,0,1,190,1000000,20
128,85,Dodrio,,,1.8,85.2,Normal,Flying,50.0,50.0,50,60,110,70,60,60,110,470,0,2,0,0,0,0,2,45,1000000,20
129,86,Seel,,,1.1,90.0,Water,Water,50.0,50.0,50,65,45,55,45,70,45,325,0,0,0,0,1,0,1,190,1000000,20
130,87,Dewgong,,,1.7,120.0,Water,Ice,50.0,50.0,50,90,70,80,70,95,70,475,0,0,0,0,2,0,2,75,1000000,20
131,88,Grimer,,,0.9,30.0,Poison,Poison,50.0,50.0,50,80,80,50,40,50,25,325,1,0,0,0,0,0,1,190,1000000,20
132,88,"""Alola"" Grimer",1347.0,,0.7,42.0,Poison,Dark,50.0,50.0,50,80,80,50,40,50,25,325,1,0,0,0,0,0,1,190,1000000,20
133,89,"""Alola"" Muk",1348.0,,1.0,52.0,Poison,Dark,50.0,50.0,50,105,105,75,65,100,50,500,1,1,0,0,0,0,2,75,1000000,20
134,89,Muk,,,1.2,30.0,Poison,Poison,50.0,50.0,50,105,105,75,65,100,50,500,1,1,0,0,0,0,2,75,1000000,20
135,90,Shellder,,,0.3,4.0,Water,Water,50.0,50.0,50,30,65,100,45,25,40,305,0,0,1,0,0,0,1,190,1250000,20
136,91,Cloyster,,,1.5,132.5,Water,Ice,50.0,50.0,50,50,95,180,85,45,70,525,0,0,2,0,0,0,2,60,1250000,20
137,92,Gastly,,,1.3,0.1,Ghost,Poison,50.0,50.0,50,30,35,30,100,35,80,310,0,0,0,1,0,0,1,190,1059860,20
138,93,Haunter,,,1.6,0.1,Ghost,Poison,50.0,50.0,50,45,50,45,115,55,95,405,0,0,0,2,0,0,2,90,1059860,20
139,94,Gengar,,,1.5,40.5,Ghost,Poison,50.0,50.0,50,60,65,60,130,75,110,500,0,0,0,3,0,0,3,45,1059860,20
140,94,Gengar,,,1.5,40.5,Ghost,Poison,50.0,50.0,50,60,65,60,130,75,110,500,0,0,0,3,0,0,3,45,1059860,20
141,94,"""Gigantamax"" Gengar",1353.0,,20.0,0.0,Ghost,Poison,50.0,50.0,50,60,65,60,130,75,110,500,0,0,0,3,0,0,3,45,1059860,20
142,94,"""Mega"" Gengar",1353.0,,1.4,40.5,Ghost,Poison,50.0,50.0,70,60,65,80,170,95,130,600,0,0,0,3,0,0,3,45,1059860,20
143,95,Onix,,,8.8,210.0,Rock,Ground,50.0,50.0,50,35,45,160,30,45,70,385,0,0,1,0,0,0,1,45,1000000,25
144,96,Drowzee,,,1.0,32.4,Psychic,Psychic,50.0,50.0,50,60,48,45,43,90,42,328,0,0,0,0,1,0,1,190,1000000,20
145,97,Hypno,,,1.6,75.6,Psychic,Psychic,50.0,50.0,50,85,73,70,73,115,67,483,0,0,0,0,2,0,2,75,1000000,20
146,98,Krabby,,,0.4,6.5,Water,Water,50.0,50.0,50,30,105,90,25,25,50,325,0,1,0,0,0,0,1,225,1000000,20
147,99,Kingler,,,1.3,60.0,Water,Water,50.0,50.0,50,55,130,115,50,50,75,475,0,2,0,0,0,0,2,60,1000000,20
148,99,"""Gigantamax"" Kingler",1358.0,,19.0,0.0,Water,Water,50.0,50.0,50,55,130,115,50,50,75,475,0,2,0,0,0,0,2,60,1000000,20
149,100,Voltorb,,,0.5,10.5,Electric,Electric,0.0,0.0,50,40,30,50,55,55,100,330,0,0,0,0,0,1,1,190,1000000,20
150,100,"""Hisui"" Voltorb",47.0,,0.5,13.0,Electric,Grass,0.0,0.0,50,40,30,50,55,55,100,330,0,0,0,0,0,1,1,235,1000000,20
151,101,Electrode,,,1.2,66.6,Electric,Electric,0.0,0.0,50,60,50,70,80,80,150,490,0,0,0,0,0,2,2,60,1000000,20
152,101,"""Hisui"" Electrode",105.0,,1.2,71.0,Electric,Grass,0.0,0.0,50,60,50,70,80,80,150,490,0,0,0,0,0,2,2,135,1000000,20
153,102,Exeggcute,,,0.4,2.5,Grass,Psychic,50.0,50.0,50,60,40,80,60,45,40,325,0,0,1,0,0,0,1,90,1250000,20
154,103,Exeggutor,,,2.0,120.0,Grass,Psychic,50.0,50.0,50,95,95,85,125,75,55,530,0,0,0,2,0,0,2,45,1250000,20
155,103,Exeggutor,,,2.0,120.0,Grass,Psychic,50.0,50.0,50,95,95,85,125,75,55,530,0,0,0,2,0,0,2,45,1250000,20
156,103,Exeggutor,,,2.0,120.0,Grass,Psychic,50.0,50.0,50,95,95,85,125,75,55,530,0,0,0,2,0,0,2,45,1250000,20
157,103,"""Alola"" Exeggutor",137.0,,10.9,415.6,Grass,Dragon,50.0,50.0,50,95,105,85,125,75,45,530,0,0,0,2,0,0,2,45,1250000,20
158,103,"""Alola"" Exeggutor",137.0,,10.9,415.6,Grass,Dragon,50.0,50.0,50,95,105,85,125,75,45,530,0,0,0,2,0,0,2,45,1250000,20
159,104,Cubone,,,0.4,6.5,Ground,Ground,50.0,50.0,50,50,50,95,40,50,35,320,0,0,1,0,0,0,1,190,1000000,20
160,105,Marowak,,,1.0,45.0,Ground,Ground,50.0,50.0,50,60,80,110,50,80,45,425,0,0,2,0,0,0,2,75,1000000,20
161,105,Marowak,,,1.0,45.0,Ground,Ground,50.0,50.0,50,60,80,110,50,80,45,425,0,0,2,0,0,0,2,75,1000000,20
162,105,Marowak,,,1.0,45.0,Ground,Ground,50.0,50.0,50,60,80,110,50,80,45,425,0,0,2,0,0,0,2,75,1000000,20
163,105,"""Alola"" Marowak",139.0,,1.0,34.0,Ghost,Fire,50.0,50.0,50,60,80,110,50,80,45,425,0,0,2,0,0,0,2,75,1000000,20
164,105,"""Alola"" Marowak",139.0,,1.0,34.0,Ghost,Fire,50.0,50.0,50,60,80,110,50,80,45,425,0,0,2,0,0,0,2,75,1000000,20
165,106,Hitmonlee,,,1.5,49.8,Fighting,Fighting,100.0,0.0,50,50,120,53,35,110,87,455,0,2,0,0,0,0,2,45,1000000,25
166,107,Hitmonchan,,,1.4,50.2,Fighting,Fighting,100.0,0.0,50,50,105,79,35,110,76,455,0,0,0,0,2,0,2,45,1000000,25
167,108,Lickitung,,,1.2,65.5,Normal,Normal,50.0,50.0,50,90,55,75,60,75,30,385,2,0,0,0,0,0,2,45,1000000,20
168,109,Koffing,,,0.6,1.0,Poison,Poison,50.0,50.0,50,40,65,95,60,45,35,340,0,0,1,0,0,0,1,190,1000000,20
169,110,Weezing,,,1.2,9.5,Poison,Poison,50.0,50.0,50,65,90,120,85,70,60,490,0,0,2,0,0,0,2,60,1000000,20
170,110,"""Galar"" Weezing",144.0,,3.0,16.0,Poison,Fairy,50.0,50.0,50,65,90,120,85,70,60,490,0,0,2,0,0,0,2,60,1000000,20
171,111,Rhyhorn,,,1.0,115.0,Ground,Rock,50.0,50.0,50,80,85,95,30,30,25,345,0,0,1,0,0,0,1,120,1250000,20
172,112,Rhydon,,,1.9,120.0,Ground,Rock,50.0,50.0,50,105,130,120,45,45,40,485,0,2,0,0,0,0,2,60,1250000,20
173,113,Chansey,,,1.1,34.6,Normal,Normal,0.0,100.0,140,250,5,5,35,105,50,450,2,0,0,0,0,0,2,30,800000,40
174,114,Tangela,,,1.0,35.0,Grass,Grass,50.0,50.0,50,65,55,115,100,40,60,435,0,0,1,0,0,0,1,45,1000000,20
175,115,Kangaskhan,,,2.2,80.0,Normal,Normal,0.0,100.0,50,105,95,80,40,80,90,490,2,0,0,0,0,0,2,45,1000000,20
